#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
IRIS_313-10020,HODARAWALA,Sri Lanka,IRGC 67631-1,RDP2,aus
IRIS_313-10000,SUWEON 311,Korea, Republic of,IRGC 61890-1,3KG,ind2
IRIS_313-10001,C 662083,Taiwan,IRGC 62101-1,3KG,ind2
IRIS_313-10002,BW 295-5,Sri Lanka,IRGC 63098-1,3KG,ind2
IRIS_313-10007,GARURA,Nepal,IRGC 64111-1,3KG,ind3
IRIS_313-10010,LALKA (LAL DHAN),Fiji,IRGC 64946-1,3KG,ind3
IRIS_313-10014,SANT ANDREA,Italy,IRGC 65732-1,3KG,tej
IRIS_313-10016,BOHOTO BALOOCHESTAN,Iran,IRGC 66237-1,3KG,admixed-ind
IRIS_313-10025,KALAPATLE,Madagascar,IRGC 68500-1,3KG,admixed
IRIS_313-10026,KITRANA 1007,Madagascar,IRGC 68517-1,3KG,ind3
IRIS_313-10030,NS 252,Madagascar,IRGC 68878-1,3KG,admixed-ind
IRIS_313-10032,NS 1576,Madagascar,IRGC 68951-1,3KG,aro
IRIS_313-10034,RIZ INDETERMINE,Niger,IRGC 69014-1,3KG,admixed-ind
IRIS_313-10035,RIZ TYPE SORGHO,Madagascar,IRGC 69015-1,3KG,ind3
IRIS_313-10040,MILYANG 77,Korea, Republic of,IRGC 69340-1,3KG,ind2
IRIS_313-10041,BOTOHAVANA MENA,Madagascar,IRGC 69349-1,3KG,trj
IRIS_313-10045,BANTA TIMA,Gambia,IRGC 69474-1,3KG,ind3
IRIS_313-10046,CHAMA (DWARF),Zambia,IRGC 69487-1,3KG,ind2
IRIS_313-10047,EX MARABA GURUKU,Nigeria,IRGC 69582-1,3KG,ind1
IRIS_313-10048,MOVE (MOKOLE),Benin,IRGC 69739-1,3KG,admixed-ind
IRIS_313-10050,TSIMATAHOPAOSA,Madagascar,IRGC 69884-1,3KG,ind3
IRIS_313-10051,TSIVIMBININA,Madagascar,IRGC 69890-1,3KG,trj
IRIS_313-10054,TOC 5430,Panama,IRGC 70487-1,3KG,ind2
IRIS_313-10056,HOKURIKU 52,Japan,IRGC 72491-1,3KG,admixed-jap
IRIS_313-10057,CHUGOKU 68 HEN,Japan,IRGC 72514-1,3KG,tej
IRIS_313-10059,DACHEONGBYEO,Korea, Republic of,IRGC 72533-1,3KG,tej
IRIS_313-10061,ESTRELA A,Portugal,IRGC 72918-1,3KG,admixed-jap
IRIS_313-10062,REA,Greece,IRGC 73031-1,3KG,admixed-jap
IRIS_313-10065,JAERAERYUKDO,Korea, Republic of,IRGC 73053-1,3KG,admixed-jap
IRIS_313-10067,JEONBUKGUNGWEONNA,Korea, Republic of,IRGC 73055-1,3KG,admixed-jap
IRIS_313-10071,CHIYODA WASE,Japan,IRGC 74467-1,3KG,admixed-jap
IRIS_313-10073,OWARI MOCHI,Japan,IRGC 74513-1,3KG,admixed-jap
IRIS_313-10074,RIKU AIKOKU,Japan,IRGC 74514-1,3KG,admixed-jap
IRIS_313-10075,SANGOKU,Japan,IRGC 74518-1,3KG,admixed-jap
IRIS_313-10076,SHINA MOCHI,Japan,IRGC 74523-1,3KG,admixed-jap
IRIS_313-10077,TAMASHIRO HIKARI,Japan,IRGC 74534-1,3KG,ind3
IRIS_313-10078,YOSHINO MOCHI,Japan,IRGC 74550-1,3KG,admixed-jap
IRIS_313-10079,DANGO MOCHI,Japan,IRGC 74551-1,3KG,admixed-jap
